alpha|beta|ServoAngleA|ServoAngleB|ServoAngleC
-30|-30|0|0|0
-29|-30|0|0|0
-28|-30|0|0|0
-27|-30|0|0|0
-26|-30|0|0|0
-25|-30|0|0|0
-24|-30|0|0|0
-23|-30|0|0|0
-22|-30|0|0|0
-21|-30|0|0|0
-20|-30|0|0|0
-19|-30|0|0|0
-18|-30|0|0|0
-17|-30|0|0|0
-16|-30|0|0|0
-15|-30|0|0|0
-14|-30|0|0|0
-13|-30|0|0|0
-12|-30|0|0|0
-11|-30|0|0|0
-10|-30|0|0|0
-9|-30|0|0|0
-8|-30|0|0|0
-7|-30|0|0|0
-6|-30|0|0|0
-5|-30|0|0|0
-4|-30|0|0|0
-3|-30|0|0|0
-2|-30|0|0|0
-1|-30|0|0|0
0|-30|0|0|0
1|-30|0|0|0
2|-30|0|0|0
3|-30|0|0|0
4|-30|0|0|0
5|-30|0|0|0
6|-30|0|0|0
7|-30|0|0|0
8|-30|0|0|0
9|-30|0|0|0
10|-30|0|0|0
11|-30|0|0|0
12|-30|0|0|0
13|-30|0|0|0
14|-30|0|0|0
15|-30|0|0|0
16|-30|0|0|0
17|-30|0|0|0
18|-30|0|0|0
19|-30|0|0|0
20|-30|0|0|0
21|-30|0|0|0
22|-30|0|0|0
23|-30|0|0|0
24|-30|0|0|0
25|-30|0|0|0
26|-30|0|0|0
27|-30|0|0|0
28|-30|0|0|0
29|-30|0|0|0
30|-30|0|0|0
-30|-29|0|0|0
-29|-29|0|0|0
-28|-29|0|0|0
-27|-29|0|0|0
-26|-29|0|0|0
-25|-29|0|0|0
-24|-29|0|0|0
-23|-29|0|0|0
-22|-29|0|0|0
-21|-29|0|0|0
-20|-29|0|0|0
-19|-29|0|0|0
-18|-29|0|0|0
-17|-29|0|0|0
-16|-29|0|0|0
-15|-29|0|0|0
-14|-29|0|0|0
-13|-29|0|0|0
-12|-29|0|0|0
-11|-29|0|0|0
-10|-29|0|0|0
-9|-29|0|0|0
-8|-29|0|0|0
-7|-29|0|0|0
-6|-29|0|0|0
-5|-29|0|0|0
-4|-29|0|0|0
-3|-29|0|0|0
-2|-29|0|0|0
-1|-29|0|0|0
0|-29|0|0|0
1|-29|0|0|0
2|-29|0|0|0
3|-29|0|0|0
4|-29|0|0|0
5|-29|0|0|0
6|-29|0|0|0
7|-29|0|0|0
8|-29|0|0|0
9|-29|0|0|0
10|-29|0|0|0
11|-29|0|0|0
12|-29|0|0|0
13|-29|0|0|0
14|-29|0|0|0
15|-29|0|0|0
16|-29|0|0|0
17|-29|0|0|0
18|-29|0|0|0
19|-29|0|0|0
20|-29|0|0|0
21|-29|0|0|0
22|-29|0|0|0
23|-29|0|0|0
24|-29|0|0|0
25|-29|0|0|0
26|-29|0|0|0
27|-29|0|0|0
28|-29|0|0|0
29|-29|0|0|0
30|-29|0|0|0
-30|-28|0|0|0
-29|-28|0|0|0
-28|-28|0|0|0
-27|-28|0|0|0
-26|-28|0|0|0
-25|-28|0|0|0
-24|-28|0|0|0
-23|-28|0|0|0
-22|-28|0|0|0
-21|-28|0|0|0
-20|-28|0|0|0
-19|-28|0|0|0
-18|-28|0|0|0
-17|-28|0|0|0
-16|-28|0|0|0
-15|-28|0|0|0
-14|-28|0|0|0
-13|-28|0|0|0
-12|-28|0|0|0
-11|-28|0|0|0
-10|-28|0|0|0
-9|-28|0|0|0
-8|-28|0|0|0
-7|-28|0|0|0
-6|-28|0|0|0
-5|-28|0|0|0
-4|-28|0|0|0
-3|-28|0|0|0
-2|-28|0|0|0
-1|-28|0|0|0
0|-28|0|0|0
1|-28|0|0|0
2|-28|0|0|0
3|-28|0|0|0
4|-28|0|0|0
5|-28|0|0|0
6|-28|0|0|0
7|-28|0|0|0
8|-28|0|0|0
9|-28|0|0|0
10|-28|0|0|0
11|-28|0|0|0
12|-28|0|0|0
13|-28|0|0|0
14|-28|0|0|0
15|-28|0|0|0
16|-28|0|0|0
17|-28|0|0|0
18|-28|0|0|0
19|-28|0|0|0
20|-28|0|0|0
21|-28|0|0|0
22|-28|0|0|0
23|-28|0|0|0
24|-28|0|0|0
25|-28|0|0|0
26|-28|0|0|0
27|-28|0|0|0
28|-28|0|0|0
29|-28|0|0|0
30|-28|0|0|0
-30|-27|0|0|0
-29|-27|0|0|0
-28|-27|0|0|0
-27|-27|0|0|0
-26|-27|0|0|0
-25|-27|0|0|0
-24|-27|0|0|0
-23|-27|0|0|0
-22|-27|0|0|0
-21|-27|0|0|0
-20|-27|0|0|0
-19|-27|0|0|0
-18|-27|0|0|0
-17|-27|0|0|0
-16|-27|0|0|0
-15|-27|0|0|0
-14|-27|0|0|0
-13|-27|0|0|0
-12|-27|0|0|0
-11|-27|0|0|0
-10|-27|0|0|0
-9|-27|0|0|0
-8|-27|0|0|0
-7|-27|0|0|0
-6|-27|0|0|0
-5|-27|0|0|0
-4|-27|0|0|0
-3|-27|0|0|0
-2|-27|0|0|0
-1|-27|0|0|0
0|-27|0|0|0
1|-27|0|0|0
2|-27|0|0|0
3|-27|0|0|0
4|-27|0|0|0
5|-27|0|0|0
6|-27|0|0|0
7|-27|0|0|0
8|-27|0|0|0
9|-27|0|0|0
10|-27|0|0|0
11|-27|0|0|0
12|-27|0|0|0
13|-27|0|0|0
14|-27|0|0|0
15|-27|0|0|0
16|-27|0|0|0
17|-27|0|0|0
18|-27|0|0|0
19|-27|0|0|0
20|-27|0|0|0
21|-27|0|0|0
22|-27|0|0|0
23|-27|0|0|0
24|-27|0|0|0
25|-27|0|0|0
26|-27|0|0|0
27|-27|0|0|0
28|-27|0|0|0
29|-27|0|0|0
30|-27|0|0|0
-30|-26|0|0|0
-29|-26|0|0|0
-28|-26|0|0|0
-27|-26|0|0|0
-26|-26|0|0|0
-25|-26|0|0|0
-24|-26|0|0|0
-23|-26|0|0|0
-22|-26|0|0|0
-21|-26|0|0|0
-20|-26|0|0|0
-19|-26|0|0|0
-18|-26|0|0|0
-17|-26|0|0|0
-16|-26|0|0|0
-15|-26|0|0|0
-14|-26|0|0|0
-13|-26|0|0|0
-12|-26|0|0|0
-11|-26|0|0|0
-10|-26|0|0|0
-9|-26|0|0|0
-8|-26|0|0|0
-7|-26|0|0|0
-6|-26|0|0|0
-5|-26|0|0|0
-4|-26|0|0|0
-3|-26|0|0|0
-2|-26|0|0|0
-1|-26|0|0|0
0|-26|0|0|0
1|-26|0|0|0
2|-26|0|0|0
3|-26|0|0|0
4|-26|0|0|0
5|-26|0|0|0
6|-26|0|0|0
7|-26|0|0|0
8|-26|0|0|0
9|-26|0|0|0
10|-26|0|0|0
11|-26|0|0|0
12|-26|0|0|0
13|-26|0|0|0
14|-26|0|0|0
15|-26|0|0|0
16|-26|0|0|0
17|-26|0|0|0
18|-26|0|0|0
19|-26|0|0|0
20|-26|0|0|0
21|-26|0|0|0
22|-26|0|0|0
23|-26|0|0|0
24|-26|0|0|0
25|-26|0|0|0
26|-26|0|0|0
27|-26|0|0|0
28|-26|0|0|0
29|-26|0|0|0
30|-26|0|0|0
-30|-25|0|0|0
-29|-25|0|0|0
-28|-25|0|0|0
-27|-25|0|0|0
-26|-25|0|0|0
-25|-25|0|0|0
-24|-25|0|0|0
-23|-25|0|0|0
-22|-25|0|0|0
-21|-25|0|0|0
-20|-25|0|0|0
-19|-25|0|0|0
-18|-25|0|0|0
-17|-25|0|0|0
-16|-25|0|0|0
-15|-25|0|0|0
-14|-25|0|0|0
-13|-25|0|0|0
-12|-25|0|0|0
-11|-25|0|0|0
-10|-25|0|0|0
-9|-25|0|0|0
-8|-25|0|0|0
-7|-25|0|0|0
-6|-25|0|0|0
-5|-25|0|0|0
-4|-25|0|0|0
-3|-25|0|0|0
-2|-25|0|0|0
-1|-25|0|0|0
0|-25|0|0|0
1|-25|0|0|0
2|-25|0|0|0
3|-25|0|0|0
4|-25|0|0|0
5|-25|0|0|0
6|-25|0|0|0
7|-25|0|0|0
8|-25|0|0|0
9|-25|0|0|0
10|-25|0|0|0
11|-25|0|0|0
12|-25|0|0|0
13|-25|0|0|0
14|-25|0|0|0
15|-25|0|0|0
16|-25|0|0|0
17|-25|0|0|0
18|-25|0|0|0
19|-25|0|0|0
20|-25|0|0|0
21|-25|0|0|0
22|-25|0|0|0
23|-25|0|0|0
24|-25|0|0|0
25|-25|0|0|0
26|-25|0|0|0
27|-25|0|0|0
28|-25|0|0|0
29|-25|0|0|0
30|-25|0|0|0
-30|-24|0|0|0
-29|-24|0|0|0
-28|-24|0|0|0
-27|-24|0|0|0
-26|-24|0|0|0
-25|-24|0|0|0
-24|-24|0|0|0
-23|-24|0|0|0
-22|-24|0|0|0
-21|-24|0|0|0
-20|-24|0|0|0
-19|-24|0|0|0
-18|-24|0|0|0
-17|-24|0|0|0
-16|-24|0|0|0
-15|-24|0|0|0
-14|-24|0|0|0
-13|-24|0|0|0
-12|-24|0|0|0
-11|-24|0|0|0
-10|-24|0|0|0
-9|-24|0|0|0
-8|-24|0|0|0
-7|-24|0|0|0
-6|-24|0|0|0
-5|-24|0|0|0
-4|-24|0|0|0
-3|-24|0|0|0
-2|-24|0|0|0
-1|-24|0|0|0
0|-24|0|0|0
1|-24|0|0|0
2|-24|0|0|0
3|-24|0|0|0
4|-24|0|0|0
5|-24|0|0|0
6|-24|0|0|0
7|-24|0|0|0
8|-24|0|0|0
9|-24|0|0|0
10|-24|0|0|0
11|-24|0|0|0
12|-24|0|0|0
13|-24|0|0|0
14|-24|0|0|0
15|-24|0|0|0
16|-24|0|0|0
17|-24|0|0|0
18|-24|0|0|0
19|-24|0|0|0
20|-24|0|0|0
21|-24|0|0|0
22|-24|0|0|0
23|-24|0|0|0
24|-24|0|0|0
25|-24|0|0|0
26|-24|0|0|0
27|-24|0|0|0
28|-24|0|0|0
29|-24|0|0|0
30|-24|0|0|0
-30|-23|0|0|0
-29|-23|0|0|0
-28|-23|0|0|0
-27|-23|0|0|0
